6 2 6
6 1 5
8 2 7
10 2 8
11 2 7
11 1 9
14 2 14
15 2 14
16 2 15
17 1 17
18 1 18
18 0 18
19 2 18
20 0 20
25 2 14
26 2 21
26 1 20
27 2 20
27 1 21
28 0 28
29 1 27
30 1 28
31 2 21
31 1 30
33 1 28
35 2 35
37 2 37
38 1 38
39 0 39
40 2 37
44 1 44
45 2 38
47 2 37
47 0 46
50 2 37
51 0 51
52 2 52
53 2 53
53 0 53
68 2 55
70 2 53
77 2 52
77 0 73
78 2 55
79 0 71
81 0 81
83 0 83
85 2 53
86 0 85
89 2 37
90 0 82
92 2 56
95 0 88
104 2 38
105 0 105
107 2 55
107 0 105
111 2 75
112 2 37
118 2 54
119 2 54
121 2 55
131 2 109
131 0 127
133 2 76
147 2 54
150 2 54
162 2 110
163 2 111
165 2 57
170 2 54
172 2 57
185 2 70
189 2 58
190 2 116
193 2 77
194 2 119
198 2 112
199 2 148
200 2 55
204 2 148
212 2 54
215 2 55
225 2 53
239 2 57
245 2 55
245 0 245
248 2 53
251 2 56
262 2 55
265 2 55
268 2 54
272 2 53
279 2 52
283 2 38
285 2 54
291 2 81
304 2 127
306 2 148
310 2 109
316 0 259
323 0 260
328 2 116
329 2 112
332 2 89
340 2 110
342 2 56
362 0 360
364 0 364
366 0 366
373 2 57
375 2 57
379 2 38
390 2 164
392 2 61
394 2 55
397 2 56
399 2 53
400 2 54
401 0 401
402 0 401
404 0 403
412 0 409
414 2 52
414 0 413
415 0 413
423 0 423
427 2 55
431 0 429
432 2 418
438 2 37
438 0 427
439 2 127
441 2 88
448 0 448
451 2 435
452 2 148
453 2 424
457 2 56
460 2 429
462 2 168
465 2 39
468 2 55
474 2 56
478 0 463
492 2 434
493 2 52
494 2 53
503 2 426
504 0 460
506 0 461
523 2 427
543 2 114
544 2 421
556 2 54
558 0 557
559 2 427
559 0 557
560 0 559
565 0 565
567 0 564
568 2 37
570 2 421
580 2 126
580 0 572
581 0 579
582 2 567
582 0 573
587 0 579
590 0 572
594 0 585
596 2 594
596 0 573
597 2 594
598 0 584
599 2 593
600 2 592
600 0 577
602 1 600
604 0 603
613 0 609
617 0 609
620 0 609
624 2 612
625 0 609
627 0 609
630 0 609
633 2 613
633 0 609
635 2 612
635 0 609
636 0 609
638 2 597
642 2 608
645 2 609
652 2 612
662 1 662
664 2 592
667 0 664
668 1 663
670 1 662
673 1 662
675 2 611
675 1 662
677 2 609
677 1 662
678 2 609
680 1 663
681 2 616
681 1 663
685 2 608
687 2 597
688 1 664
689 2 611
690 1 662
693 1 664
694 1 663
695 1 663
698 2 610
700 1 663
704 2 593
705 1 663
707 1 663
708 1 663
713 2 597
715 2 593
717 1 663
718 2 611
720 2 613
727 2 593
727 1 663
728 1 662
732 1 662
735 2 594
735 1 662
744 2 611
745 2 606
746 2 612
747 2 592
752 2 610
754 0 753
757 0 752
758 2 594
762 2 604
762 0 751
767 2 609
768 1 664
770 0 758
776 1 663
777 2 612
777 1 664
778 0 749
781 0 746
783 1 663
784 1 663
785 1 663
786 2 605
795 2 612
796 1 662
797 1 663
798 2 610
799 1 662
800 2 597
804 0 754
810 1 663
813 1 664
822 2 605
824 2 608
825 0 747
830 1 664
834 1 663
836 0 755
837 2 606
838 2 597
838 1 663
840 0 747
841 1 663
843 2 613
843 0 747
844 0 741
846 1 807
846 0 753
847 1 808
848 2 606
854 1 662
855 0 754
857 1 663
859 2 592
862 1 663
864 0 753
865 2 593
866 2 592
868 2 613
869 1 664
871 2 607
873 1 662
874 0 748
875 0 748
876 2 607
877 2 592
878 1 662
881 2 592
881 0 748
884 2 611
885 2 609
886 0 741
888 0 752
891 1 662
893 2 594
894 0 763
895 0 752
897 0 753
902 2 609
903 0 749
905 0 754
906 0 760
907 2 597
909 1 664
914 1 664
917 1 663
918 0 744
920 2 609
921 2 617
922 2 597
925 2 609
926 1 664
928 1 663
928 0 747
929 0 745
932 2 612
933 2 612
934 2 594
935 1 662
940 2 604
940 1 663
943 0 745
944 1 662
947 0 744
949 2 606
955 0 744
958 2 592
963 2 612
963 1 663
964 2 597
965 0 741
968 2 594
972 2 609
974 2 605
976 2 594
982 0 747
983 0 752
986 0 749
988 0 752
992 0 753
995 0 750
998 1 664
999 0 750
1000 2 594
1005 1 664
1006 2 605
1012 0 756
1019 2 607
1021 0 750
1023 0 750
1026 1 662
1026 0 744
1028 2 605
1030 2 611
1030 1 664
1031 2 609
1034 1 664
1038 2 605
1039 1 663
1040 1 664
1042 2 597
1043 2 597
1048 1 859
1048 0 747
1049 1 996
1049 0 744
1052 1 664
1054 2 593
1055 2 594
1060 0 741
1062 2 592
1063 2 597
1065 0 749
1067 0 744
1071 0 747
1075 1 662
1077 0 748
1079 0 752
1081 0 750
1082 2 1030
1084 0 745
1087 1 663
1088 0 754
1089 2 608
1089 0 755
1091 1 662
1091 0 751
1093 0 741
1094 1 662
1096 2 593
1096 0 743
1097 2 592
1101 0 754
1106 0 750
1111 2 605
1112 1 663
1113 1 662
1113 0 756
1115 2 593
1117 0 746
1127 2 616
1128 0 753
1129 1 663
1129 0 747
1131 2 616
1133 2 618
1135 2 1031
1136 0 747
1137 0 747
1141 2 1034
1141 1 663
1142 1 808
1145 0 750
1146 0 746
1149 1 662
1151 0 760
1155 2 610
1155 1 868
1155 0 763
1158 1 992
1159 2 594
1161 2 607
1162 0 764
1163 1 990
1168 2 610
1171 2 606
1172 1 1170
1173 1 1171
1175 2 610
1175 0 748
1179 2 593
1179 1 770
1181 2 597
1181 0 742
1182 1 769
1185 1 664
1186 2 611
1187 1 664
1187 0 763
1192 2 613
1199 2 606
1200 0 754
1201 0 753
1203 0 754
1207 0 757
1208 2 1031
1211 0 741
1212 0 744
1214 2 605
1215 0 746
1217 0 748
1218 1 1191
1220 2 593
1221 0 749
1222 0 757
1225 0 763
1226 0 745
1231 1 856
1237 1 663
1238 0 749
1242 2 612
1243 0 744
1244 1 1174
1247 0 753
1249 1 664
1253 2 604
1258 2 597
1258 0 754
1261 2 612
1261 1 997
1261 0 749
1265 1 809
1269 1 994
1270 0 754
1276 2 592
1281 2 597
1285 2 1030
1286 0 760
1288 0 749
1298 1 1189
1299 1 663
1302 0 754
1304 1 1174
1305 2 610
1305 1 664
1305 0 752
1306 2 592
1311 2 597
1311 0 743
1314 2 612
1314 0 754
1316 2 606
1316 1 662
1317 2 608
1317 0 745
1322 0 754
1328 0 747
1338 0 741
1339 2 1033
1339 0 747
1340 2 609
1341 0 743
1344 0 743
1345 0 1330
1348 2 607
1348 0 762
1351 0 763
1352 0 1332
1353 0 752
1354 0 1329
1355 0 752
1356 0 747
1357 2 612
1357 0 743
1365 0 754
1367 2 609
