0 62120.6361621 115366.89573
1 63306.5921635 117569.385447
2 77180.1711599 143334.603583
3 74416.3063896 138201.711866
11 -5353.87626624 -2882.85645105
13 -10244.049504 -5516.026656
25 -5574.20526064 -3001.49514034
26 3311.87995084 6150.63419442
50 -7715.91768831 -4154.72490909
195 2498.24539252 4639.59858611
0 32048.0278168 59517.7659454
1 33157.7256314 61578.6333155
2 40708.2381084 75601.0136298
3 40002.7806373 74290.8783265
4 -3162.46504415 -1702.865793
5 1923.02645318 3571.33484163
7 1693.06382995 3144.26139848
13 -4304.30954672 -2317.70514054
20 1934.93902927 3593.45819721
50 -4241.7545871 -2284.02170075
