2 1 0
8 1 5
9 1 5
10 1 10
13 1 11
17 0 16
25 0 21
28 1 26
29 1 28
30 1 27
31 0 30
34 1 29
48 0 42
50 0 42
51 1 30
52 1 27
54 1 28
69 0 66
70 0 42
72 1 30
74 0 72
75 0 72
77 1 73
78 1 30
80 0 72
81 1 41
82 1 28
84 1 31
86 1 71
90 1 79
91 1 77
91 0 72
97 1 27
98 0 72
102 1 74
103 0 72
110 0 72
112 1 74
119 0 72
120 0 72
122 1 30
123 1 27
127 0 72
130 1 81
130 0 42
133 1 80
135 1 29
136 1 28
141 0 72
146 0 72
159 0 72
161 0 72
166 0 72
170 1 81
172 0 72
192 1 80
194 1 181
195 1 160
196 1 69
198 1 75
198 0 72
201 0 72
205 0 72
212 1 147
212 0 72
216 0 72
217 1 31
219 0 72
226 0 72
227 1 181
229 1 182
235 0 72
236 0 72
237 0 72
240 1 180
250 1 26
251 1 28
256 1 26
261 1 180
262 1 180
277 1 181
279 1 27
282 1 31
284 1 27
291 0 72
296 1 181
300 1 181
301 1 28
302 1 292
302 0 72
312 1 31
313 1 76
316 0 66
317 1 306
318 0 42
325 1 74
336 1 75
350 1 195
353 1 336
361 0 72
373 0 72
374 0 72
381 1 306
390 1 364
404 0 72
409 0 72
415 1 287
416 1 74
418 1 181
425 0 72
431 1 192
433 1 288
446 1 288
454 1 288
458 1 77
458 0 72
467 0 72
482 1 26
484 1 180
487 1 77
488 1 289
488 0 72
498 0 72
503 1 469
504 1 304
506 1 363
512 1 296
513 1 441
520 1 152
529 1 301
530 1 32
533 1 76
537 0 72
539 1 371
541 1 201
542 1 181
543 1 152
546 1 173
547 1 302
549 1 469
553 1 78
555 0 72
556 1 304
557 0 72
565 1 363
569 1 364
577 1 292
582 0 72
587 1 439
587 0 42
592 1 71
597 0 72
599 0 72
600 0 72
603 0 72
604 1 148
606 1 468
613 1 301
616 1 180
622 1 364
634 1 180
641 1 193
642 1 28
643 1 305
644 1 595
647 1 621
650 1 180
656 0 66
660 1 364
662 0 66
663 0 306
664 0 662
671 1 591
676 0 66
696 1 292
702 0 72
707 1 592
708 1 708
712 0 688
717 0 677
718 0 72
720 0 72
725 1 182
730 1 708
733 1 620
735 0 688
736 0 680
740 1 26
746 1 364
750 0 688
751 1 364
751 0 710
756 0 238
758 0 72
775 1 663
776 0 689
784 0 682
785 1 465
786 1 662
788 0 682
795 1 195
795 0 688
796 1 712
800 0 680
803 1 711
804 1 749
806 1 292
807 0 683
808 1 658
810 0 680
811 1 620
818 1 591
822 1 364
822 0 691
827 0 681
831 1 594
833 1 588
833 0 684
834 0 690
835 0 681
837 1 590
837 0 680
838 1 181
844 0 689
849 0 677
850 1 149
851 0 680
857 1 363
858 1 29
860 1 749
862 1 619
864 1 301
865 1 303
866 0 681
868 1 711
870 0 692
872 0 695
873 1 620
875 0 677
877 1 182
882 0 689
883 0 693
885 1 709
888 1 288
890 0 680
891 1 292
892 0 686
895 1 292
895 0 893
897 1 710
898 0 894
900 0 894
901 1 597
901 0 692
903 1 192
905 0 687
906 0 894
910 1 597
911 0 695
914 1 286
916 1 666
917 1 78
919 1 303
923 1 910
926 1 148
928 1 589
928 0 680
935 1 595
936 1 909
936 0 681
943 1 769
