0 2 0
3 1 3
4 3 4
5 3 5
5 1 4
6 3 5
6 1 4
7 2 6
8 2 8
10 1 9
16 3 1
16 1 16
21 3 1
23 3 6
25 3 4
27 3 1
31 2 31
32 2 31
37 2 32
42 3 22
44 3 37
61 3 2
64 3 56
67 3 56
68 3 64
83 3 57
85 3 72
100 2 96
104 3 70
106 3 73
108 2 87
114 2 111
114 1 100
116 3 106
117 1 78
118 2 92
118 1 97
119 1 99
121 3 7
123 3 37
124 3 72
128 3 125
130 3 71
135 1 132
140 1 139
141 1 141
142 3 113
142 1 141
144 1 143
145 1 142
147 3 70
155 3 71
158 3 56
159 1 154
164 1 139
165 1 141
167 1 139
168 3 28
172 3 72
173 3 71
173 0 167
174 3 160
175 3 73
177 3 73
181 3 142
185 3 141
186 3 37
188 3 72
194 3 37
201 0 198
204 0 197
205 1 142
210 3 126
212 2 193
212 1 156
213 1 140
214 1 146
216 3 70
219 0 205
226 1 141
228 3 73
230 3 143
232 1 159
233 1 142
237 1 142
238 1 146
240 1 147
241 1 141
242 1 140
246 2 192
249 1 144
253 3 73
254 3 126
255 3 72
255 2 194
256 3 106
256 1 143
257 1 140
260 1 150
266 2 194
266 1 157
267 1 144
269 1 147
270 1 143
272 3 230
272 1 140
278 3 189
278 2 189
279 2 193
279 0 200
281 2 193
285 0 202
287 1 142
288 1 168
290 3 221
296 2 247
299 1 142
301 2 292
301 1 141
303 1 144
312 2 293
314 3 301
322 3 143
323 3 298
324 2 246
326 3 318
326 1 146
328 2 240
330 3 297
331 3 128
332 1 141
333 3 297
333 2 192
333 1 140
334 3 221
340 2 294
344 3 221
346 2 191
347 2 345
347 1 143
348 3 304
352 3 301
355 3 300
355 1 141
356 2 345
356 0 316
357 1 144
363 0 323
364 1 143
365 2 348
365 1 143
367 3 297
373 0 314
374 2 297
374 1 147
375 0 316
376 2 291
377 1 141
378 1 146
381 3 111
381 1 152
382 3 75
383 1 155
383 0 199
384 1 159
385 3 230
385 0 311
386 1 147
387 0 313
391 2 348
392 3 186
393 2 338
394 2 339
397 3 304
399 2 337
400 3 31
400 2 341
400 0 395
402 3 71
403 2 335
403 1 140
404 2 348
407 3 297
411 1 147
412 3 145
412 0 392
413 0 392
414 0 396
417 0 398
418 0 397
419 0 400
420 0 400
421 0 399
422 0 397
423 3 73
426 3 37
427 3 365
427 0 398
429 1 146
430 3 301
430 1 143
431 3 301
433 1 145
434 0 394
437 0 400
438 0 394
443 1 146
444 1 437
449 3 390
450 2 348
450 0 397
451 2 338
455 3 126
458 0 394
460 0 396
464 2 295
468 2 89
468 1 155
469 3 389
470 3 125
470 2 238
470 1 143
470 0 403
471 3 221
471 0 393
472 2 340
472 0 401
473 3 301
473 2 337
475 2 338
476 0 403
477 2 335
477 0 394
